athlete_id,name,born_date,born_city,born_region,born_country,NOC,height_cm,weight_kg,died_date
38966,Rob Robbers,1950-01-03,Balikpapan,Kalimantan Timur,INA,Netherlands,191.0,81.0,N/A
38999,Jan van de Graaff,1944-09-24,Hengelo,Overijssel,NED,Netherlands,193.0,92.0,N/A
39001,Herman van den Eerenbeemt,1962-08-12,Amsterdam,Noord-Holland,NED,Netherlands,196.0,95.0,N/A
39007,Jan van der Vliet,1949-03-05,Heemstede,Noord-Holland,NED,Netherlands,192.0,90.0,N/A
39008,Niels van der Zwan,1967-06-25,Scheveningen,Zuid-Holland,NED,Netherlands,196.0,97.0,N/A
39010,Leendert van Dis,1944-08-20,Amsterdam,Noord-Holland,NED,Netherlands,194.0,85.0,N/A
39015,Sjors van Iwaarden,1969-02-22,Amsterdam,Noord-Holland,NED,Netherlands,195.0,85.0,N/A
39018,Hadriaan van Nes,1942-08-07,Gorinchem,Zuid-Holland,NED,Netherlands,192.0,89.0,N/A
39039,Henk Jan Zwolle,1964-11-30,Enschede,Overijssel,NED,Netherlands,197.0,93.0,N/A
39057,Lars Bjønness,1963-07-27,Oslo,Oslo,NOR,Norway,192.0,87.0,N/A
39079,Hans Magnus Grepperud,1958-05-10,Oslo,Oslo,NOR,Norway,195.0,87.0,N/A
39084,Frank Hansen,1945-08-04,Oslo,Oslo,NOR,Norway,193.0,92.0,N/A
39117,Ole Nafstad,1946-02-20,Bærum,Viken,NOR,Norway,193.0,87.0,N/A
39123,Sverre Norberg,1953-09-05,Horten,Vestfold og Telemark,NOR,Norway,193.0,97.0,N/A
39141,Rolf Thorsen,1961-02-22,Zürich,Zürich,SUI,Norway,191.0,90.0,N/A
39142,Svein Thøgersen,1946-06-23,Sarpsborg,Viken,NOR,Norway,195.0,90.0,N/A
39146,Olaf Tufte,1976-04-27,Tønsberg,Vestfold og Telemark,NOR,Norway,193.0,94.0,N/A
39147,Finn Tveter,1947-11-19,Oslo,Oslo,NOR,Norway,194.0,92.0,2018-07-30
39150,Kjetil Undset,1970-08-24,Stavanger,Rogaland,NOR,Norway,201.0,95.0,N/A
39152,Vetle Vinje,1962-03-14,Oslo,Oslo,NOR,Norway,193.0,87.0,N/A
39156,Tore Øvrebø,1965-08-25,Stavanger,Rogaland,NOR,Norway,192.0,86.0,N/A
39166,Darien Boswell,1938-05-23,Auckland,Auckland,NZL,New Zealand,191.0,83.0,2018-02-11
39168,Scott Brownlee,1969-03-19,Christchurch,Canterbury,NZL,New Zealand,197.0,96.0,N/A
39170,Alexander Clark,1943-02-20,Oamaru,Otago,NZL,New Zealand,191.0,85.0,N/A
39171,John Clark,1944-07-09,Wellington,Wellington,NZL,New Zealand,191.0,N/A,N/A
